"Story","Title","Result","Date","Stability","Duration (s)"
"Search the cheapest accommodation on the Despegar webpage","Find the cheapest accommodation for tomorrow and the day after in Santa Marta","SUCCESS","2021-03-30T14:04:44.415-05:00[America/Bogota]","0.0","48.83"
"Search the cheapest plane ticket on the Despegar webpage","Search the cheapest ticket for tomorrow on the Medellín - Santa Marta route","SUCCESS","2021-03-30T14:05:47.634-05:00[America/Bogota]","0.0","42.28"
